1,0.0019958019256591797
2,0.0019936561584472656
3,0.0039997100830078125
4,0.005018711090087891
5,0.006988525390625
6,0.007994890213012695
7,0.009007453918457031
8,0.01099085807800293
9,0.01100015640258789
10,0.013007164001464844
11,0.014991044998168945
12,0.015006303787231445
13,0.016994953155517578
14,0.01800227165222168
15,0.018995285034179688
16,0.02100348472595215
17,0.022012948989868164
18,0.02303028106689453
19,0.02496790885925293
20,0.026051759719848633
